experimentId,variable1,variable2,outcomeMeasure,experimentDate,location,researcherId,controlFlag,anomalyFlag
E0001,26,Type B,56,2025-02-19,Lab 1,R1163,false,false
E0002,0,Type B,163.8,2025-01-18,Lab 2,R6397,true,false
E0003,45,Type C,2,2024-10-12,Lab 1,R1221,false,false
E0004,17,Type D,126.9,2024-08-07,Lab 1,R4367,true,false
E0005,39,Type D,79,2024-07-22,Lab 1,R4683,false,false
E0006,89,Type A,188,2024-11-08,Lab 4,R3606,false,false
E0007,50,Type B,36,2025-01-14,Lab 4,R1118,false,false
E0008,94,Type A,44,2024-10-09,Lab 4,R5338,false,false
E0009,95,Type D,166,2024-12-21,Lab 3,R2330,false,false
E0010,23,Type A,85,2025-03-26,Lab 3,R4403,false,false
E0011,14,Type A,18,2024-08-10,Lab 1,R1294,false,false
E0012,83,Type C,62,2024-10-08,Lab 2,R2391,false,false
E0013,90,Type B,25,2024-08-20,Lab 4,R5448,false,false
E0014,78,Type C,351,2024-09-10,Lab 1,R5512,true,true
E0015,42,Type C,137,2024-12-05,Lab 2,R7874,false,false
E0016,18,Type D,73,2025-05-11,Lab 3,R8594,false,false
E0017,98,Type A,119,2024-08-17,Lab 3,R1467,false,false
E0018,16,Type A,85,2024-09-23,Lab 3,R4857,false,false
E0019,83,Type D,31,2024-11-13,Lab 2,R1501,false,false
E0020,81,Type A,29.7,2024-08-08,Lab 2,R2485,true,false
E0021,88,Type C,45,2024-07-25,Lab 1,R2603,false,false
E0022,31,Type B,111,2024-11-01,Lab 1,R2324,false,false
E0023,44,Type D,14,2024-11-05,Lab 2,R5839,false,false
E0024,22,Type C,85.5,2024-11-16,Lab 4,R7102,true,false
E0025,48,Type C,444,2024-06-30,Lab 3,R7049,false,true
E0026,81,Type B,1.8,2024-12-16,Lab 1,R1726,true,false
E0027,95,Type B,108.9,2025-05-21,Lab 1,R4742,true,false
E0028,82,Type D,75,2024-12-13,Lab 4,R7306,false,false
E0029,5,Type B,85,2024-07-09,Lab 3,R6675,false,false
E0030,76,Type B,4,2025-03-06,Lab 1,R1427,false,false
E0031,82,Type C,21,2024-06-21,Lab 4,R5594,false,false
E0032,50,Type A,158,2024-05-27,Lab 1,R4989,false,false
E0033,45,Type D,129,2024-07-31,Lab 3,R5406,false,false
E0034,86,Type C,49,2024-12-24,Lab 3,R5849,false,false
E0035,41,Type A,167,2024-06-21,Lab 3,R3089,false,false
E0036,16,Type A,160.20000000000002,2024-06-07,Lab 4,R4168,true,false
E0037,89,Type B,110,2024-12-06,Lab 3,R6296,false,false
E0038,97,Type C,47,2024-08-10,Lab 3,R2387,false,false
E0039,70,Type B,100,2024-07-17,Lab 1,R7944,false,false
E0040,54,Type B,45.9,2025-03-08,Lab 3,R9678,true,false
E0041,23,Type C,195,2025-03-31,Lab 2,R6890,false,false
E0042,29,Type A,184,2025-04-24,Lab 2,R9841,false,false
E0043,37,Type C,149,2025-02-10,Lab 1,R3723,false,false
E0044,8,Type C,168,2025-03-27,Lab 2,R4890,false,false
E0045,67,Type A,76,2025-05-10,Lab 4,R5933,false,false
E0046,5,Type C,157,2024-11-16,Lab 4,R6795,false,false
E0047,84,Type A,121.5,2024-07-17,Lab 2,R1700,true,false
E0048,8,Type A,16,2024-10-30,Lab 3,R2202,false,false
E0049,4,Type B,193,2024-06-03,Lab 3,R3477,false,false
