transactionId,dateOfTransaction,accountId,transactionAmount,transactionType,location,accountBalanceAfter,customerSegment,fraudFlag
T0001,2024-08-18,A4994,3155,Transfer,Tokyo,50995,Corporate,false
T0002,2024-09-27,A5958,506,Withdrawal,Sydney,70061,Corporate,false
T0003,2024-08-12,A3119,3471,Deposit,London,63042,Retail,false
T0004,2025-01-23,A8011,555,Transfer,New York,67323,Retail,false
T0005,2024-10-04,A7583,1411,Deposit,Tokyo,58679,Retail,false
T0006,2024-07-19,A5760,3784,Withdrawal,London,77821,Retail,false
T0007,2025-05-09,A8829,12268,Withdrawal,New York,63854,Retail,true
T0008,2025-04-30,A1873,4980,Deposit,Tokyo,68533,Corporate,false
T0009,2024-12-22,A3282,2978,Transfer,New York,42560,SME,false
T0010,2024-08-15,A6147,2354,Transfer,New York,44894,Corporate,false
T0011,2024-12-06,A7588,830,Transfer,Tokyo,53297,SME,false
T0012,2025-04-18,A6087,4050,Deposit,London,61537,SME,false
T0013,2025-05-03,A3160,731,Deposit,New York,34046,SME,false
T0014,2025-04-16,A8015,2813,Transfer,London,28340,Corporate,false
T0015,2025-04-04,A1500,3562,Deposit,Sydney,61398,Corporate,false
T0016,2024-10-03,A5737,777,Deposit,New York,2546,SME,false
T0017,2025-02-24,A5011,1804,Transfer,Sydney,9956,Corporate,false
T0018,2024-11-25,A4368,2050,Transfer,Sydney,88947,SME,false
T0019,2024-09-24,A6469,2561,Transfer,Tokyo,-811,SME,false
T0020,2024-07-25,A8954,877,Transfer,New York,24539,Corporate,false
T0021,2024-06-04,A2184,4771,Transfer,Sydney,17391,Corporate,false
T0022,2024-06-12,A1277,396,Withdrawal,London,26363,Retail,false
T0023,2025-02-08,A9955,2418,Deposit,Sydney,33771,SME,false
T0024,2024-11-10,A5833,317,Deposit,Sydney,68130,Retail,false
T0025,2024-10-12,A2720,2936,Withdrawal,London,1103,Retail,false
T0026,2025-01-20,A2543,934,Withdrawal,Sydney,20877,SME,false
T0027,2024-10-30,A3961,4587,Transfer,Tokyo,55420,SME,false
T0028,2024-11-29,A9386,81,Deposit,Tokyo,78872,Corporate,false
T0029,2024-11-03,A3932,4151,Deposit,London,46587,Corporate,false
T0030,2025-04-28,A1338,1879,Transfer,Tokyo,47564,Retail,false
T0031,2024-11-13,A1148,2470,Withdrawal,New York,51631,SME,false
T0032,2025-05-10,A5523,1684,Transfer,Tokyo,77491,Corporate,false
T0033,2024-08-28,A9310,2625,Deposit,Tokyo,92888,SME,false
T0034,2024-06-27,A2452,2285,Withdrawal,London,60002,SME,false
T0035,2024-12-23,A8637,3041,Transfer,London,7851,Corporate,false
T0036,2025-02-02,A4624,4851,Deposit,Sydney,92052,SME,false
T0037,2024-12-19,A4807,4707,Deposit,Sydney,51119,SME,false
T0038,2025-04-24,A6361,4313,Withdrawal,Tokyo,54823,Retail,false
T0039,2024-08-23,A5846,1666,Transfer,Sydney,3771,Retail,false
T0040,2025-02-25,A8617,1628,Withdrawal,New York,8622,Corporate,false
T0041,2025-01-24,A6407,2511,Withdrawal,Sydney,87614,SME,false
T0042,2024-08-05,A2998,4871,Deposit,London,37625,Corporate,false
T0043,2025-03-23,A2576,1323,Withdrawal,Tokyo,14254,Retail,false
T0044,2025-05-15,A7112,1137,Withdrawal,Tokyo,92732,Corporate,false
T0045,2025-01-24,A1096,568,Transfer,New York,54706,Corporate,false
T0046,2025-03-22,A9811,4854,Transfer,Sydney,52113,SME,false
T0047,2025-04-12,A5210,2858,Transfer,New York,21331,Corporate,false
T0048,2024-10-23,A1587,212,Withdrawal,London,5462,Retail,false
T0049,2025-03-20,A1777,3046,Deposit,London,19413,Retail,false
T0050,2025-02-09,A1811,2345,Withdrawal,London,90773,Corporate,false
T0051,2024-12-14,A3156,1428,Deposit,New York,91131,Corporate,false
T0052,2025-03-31,A9261,2178,Withdrawal,New York,52796,SME,false
T0053,2024-10-26,A5136,538,Withdrawal,Tokyo,76659,Corporate,false
