customerId,age,gender,incomeLevel,productCategory,purchaseAmount,purchaseDate,geographicRegion,customerLoyaltyScore,marketingChannel
C1,49,Male,56538,Accessories,41,2025-01-25,South America,7,In-Store Promotion
C2,45,Female,32329,Accessories,60,2025-05-16,North America,5,Social Media
C3,42,Male,86433,Tablet,492,2024-12-18,Asia,10,In-Store Promotion
C4,31,Female,133817,Tablet,316,2024-12-25,South America,6,TV
C5,22,Male,101864,Accessories,34,2024-12-13,Asia,7,Social Media
C6,18,Female,59481,Tablet,538,2024-08-07,Asia,5,Online Ads
C7,33,Female,137068,Accessories,33,2024-08-19,South America,8,Online Ads
C8,50,Male,138336,Tablet,272,2024-11-10,South America,2,In-Store Promotion
C9,27,Male,133907,Laptop,1168,2024-07-15,Asia,6,TV
C10,52,Female,67964,Tablet,580,2024-12-05,South America,10,Online Ads
C11,61,Female,109275,Accessories,30,2024-06-25,South America,1,In-Store Promotion
C12,43,Female,47539,Smartphone,705,2024-05-31,Asia,3,TV
C13,65,Female,90787,Smartphone,752,2024-10-15,North America,6,Social Media
C14,48,Male,50098,Smartphone,600,2024-11-09,North America,8,In-Store Promotion
C15,60,Female,37089,Tablet,536,2024-07-09,Europe,7,Social Media
C16,43,Female,42791,Accessories,59,2024-07-23,North America,6,Online Ads
C17,58,Female,100591,Laptop,1714,2024-06-23,South America,2,Social Media
C18,20,Male,67155,Laptop,884,2024-09-23,North America,3,Online Ads
C19,26,Male,59279,Accessories,50,2024-07-06,Asia,3,Social Media
C20,40,Female,112323,Accessories,17,2025-02-28,North America,10,Online Ads
C21,56,Female,44501,Accessories,38,2025-03-16,Asia,8,Online Ads
C22,28,Female,52970,Accessories,79,2024-12-03,South America,10,In-Store Promotion
C23,63,Male,129245,Smartphone,997,2024-11-01,North America,9,TV
C24,49,Male,92622,Smartphone,590,2025-04-26,Europe,4,Social Media
C25,51,Female,122476,Tablet,287,2024-06-26,South America,6,Online Ads
C26,38,Male,147303,Laptop,1079,2025-04-22,North America,7,Social Media
C27,20,Male,60766,Smartphone,631,2025-01-09,South America,8,TV
C28,31,Male,108343,Tablet,386,2024-07-17,North America,5,TV
C29,42,Male,75474,Smartphone,1143,2024-06-23,North America,7,TV
C30,44,Male,69894,Tablet,562,2025-03-12,South America,1,TV
C31,47,Male,39944,Tablet,302,2025-03-08,Asia,5,Online Ads
C32,36,Male,114865,Accessories,12,2024-07-21,North America,7,In-Store Promotion
C33,40,Male,143216,Smartphone,641,2025-02-14,North America,1,In-Store Promotion
C34,18,Female,92653,Laptop,1811,2025-01-01,Europe,6,In-Store Promotion
C35,36,Female,41069,Tablet,593,2024-07-06,South America,5,Social Media
C36,36,Female,82974,Tablet,257,2024-06-20,Europe,1,TV
C37,53,Male,117641,Accessories,62,2024-10-03,Asia,8,Social Media
C38,61,Female,89169,Smartphone,840,2024-12-23,North America,6,TV
C39,59,Male,113449,Smartphone,725,2024-09-24,North America,6,Social Media
C40,57,Male,22573,Smartphone,1121,2024-10-09,Asia,5,Online Ads
C41,44,Female,141393,Tablet,313,2024-12-16,Asia,2,Social Media
